Period,sales,suvs,insurance
1/1/2004,61146,94,92
2/1/2004,65230,91,84
3/1/2004,78662,88,86
4/1/2004,73252,94,87
5/1/2004,77491,93,86
6/1/2004,75355,93,95
7/1/2004,78837,95,95
8/1/2004,76377,100,100
9/1/2004,73580,99,87
10/1/2004,68745,88,79
11/1/2004,65221,86,73
12/1/2004,72476,86,78
1/1/2005,61936,89,85
2/1/2005,66945,89,81
3/1/2005,80609,85,82
4/1/2005,77669,84,79
5/1/2005,78327,83,81
6/1/2005,85378,86,87
7/1/2005,87710,94,85
8/1/2005,81220,89,92
9/1/2005,69412,79,82
10/1/2005,63594,77,74
11/1/2005,64845,74,69
12/1/2005,70662,78,70
1/1/2006,65737,78,79
2/1/2006,67452,77,75
3/1/2006,82754,78,73
4/1/2006,76180,78,74
5/1/2006,81517,76,76
6/1/2006,80599,80,83
7/1/2006,80889,86,84
8/1/2006,82997,86,86
9/1/2006,73000,77,74
10/1/2006,70365,73,72
11/1/2006,67512,71,66
12/1/2006,70995,71,67
1/1/2007,66585,73,74
2/1/2007,69373,78,72
3/1/2007,83833,73,71
4/1/2007,77265,75,72
5/1/2007,85183,73,70
6/1/2007,79824,70,71
7/1/2007,79097,78,73
8/1/2007,84633,79,73
9/1/2007,73470,74,62
10/1/2007,74461,68,63
11/1/2007,67344,66,55
12/1/2007,69071,68,55
1/1/2008,65843,67,62
2/1/2008,69030,71,59
3/1/2008,76614,70,58
4/1/2008,73736,66,59
5/1/2008,76127,66,58
6/1/2008,69428,63,57
7/1/2008,69677,63,60
8/1/2008,69676,64,57
9/1/2008,60489,58,54
10/1/2008,55026,56,51
11/1/2008,47866,56,44
12/1/2008,52353,60,46
1/1/2009,50093,59,51
2/1/2009,50006,58,51
3/1/2009,57133,58,51
4/1/2009,55939,58,49
5/1/2009,57732,57,45
6/1/2009,59522,57,48
7/1/2009,62300,61,50
8/1/2009,66182,64,50
9/1/2009,52123,55,44
10/1/2009,54866,54,42
11/1/2009,50024,52,39
12/1/2009,55852,56,38
1/1/2010,49870,55,42
2/1/2010,51822,58,42
3/1/2010,67448,56,43
4/1/2010,64368,56,41
5/1/2010,65243,53,39
6/1/2010,64700,54,43
7/1/2010,67006,60,45
8/1/2010,66074,60,45
9/1/2010,61654,56,42
10/1/2010,61386,53,40
11/1/2010,58830,53,37
12/1/2010,64512,55,37
1/1/2011,57881,68,51
2/1/2011,62575,70,51
3/1/2011,75168,64,52
4/1/2011,69542,65,51
5/1/2011,69277,61,49
6/1/2011,70201,64,52
7/1/2011,69178,67,53
8/1/2011,71295,70,54
9/1/2011,66956,63,50
10/1/2011,65913,62,48
11/1/2011,63968,60,45
12/1/2011,70984,64,45
1/1/2012,62268,66,50
2/1/2012,70329,66,52
3/1/2012,81157,65,49
4/1/2012,73491,67,48
5/1/2012,79796,64,49
6/1/2012,75954,66,50
7/1/2012,75239,70,53
8/1/2012,80728,73,53
9/1/2012,71318,67,49
10/1/2012,72301,62,49
11/1/2012,69694,61,44
12/1/2012,74219,65,43
1/1/2013,69337,65,48
2/1/2013,73035,69,50
3/1/2013,83637,67,48
4/1/2013,81495,65,49
5/1/2013,86702,64,47
6/1/2013,82571,66,49
7/1/2013,86006,70,52
8/1/2013,88654,70,52
9/1/2013,75491,64,48
10/1/2013,78782,62,48
11/1/2013,75389,61,44
12/1/2013,78195,62,43
1/1/2014,70382,64,47
2/1/2014,74954,66,48
3/1/2014,90488,66,49
4/1/2014,87959,66,48
5/1/2014,93239,63,46
6/1/2014,86715,64,45
7/1/2014,91275,64,45
8/1/2014,92624,67,46
9/1/2014,83365,61,45
10/1/2014,84334,60,43
11/1/2014,78968,59,37
12/1/2014,86548,57,39
1/1/2015,78427,60,40
2/1/2015,79512,64,43
3/1/2015,96419,62,41
4/1/2015,93672,60,40
5/1/2015,97424,59,38
6/1/2015,94600,59,41
7/1/2015,97756,64,42
8/1/2015,97898,64,42
9/1/2015,90772,59,39
10/1/2015,90400,57,37
11/1/2015,84094,56,35
12/1/2015,93138,57,36
1/1/2016,80100,79,48
2/1/2016,89308,83,53
3/1/2016,100254,83,51
4/1/2016,96838,79,51
5/1/2016,98082,81,53
6/1/2016,97700,83,52
7/1/2016,98961,88,55
8/1/2016,103307,88,56
9/1/2016,94749,86,54
10/1/2016,92033,80,52
11/1/2016,89366,78,48
12/1/2016,99916,86,50
1/1/2017,84235,84,54
2/1/2017,88434,84,56
3/1/2017,105183,88,57
4/1/2017,96332,85,54
5/1/2017,104569,86,56
6/1/2017,101574,92,59
7/1/2017,101141,96,59
8/1/2017,103617,94,62
9/1/2017,98778,90,59
10/1/2017,96179,87,56
11/1/2017,93524,87,52
12/1/2017,98801,88,49
1/1/2018,87048,87,55
2/1/2018,88542,91,55
3/1/2018,108350,94,55
4/1/2018,98248,91,53
5/1/2018,107939,89,54
6/1/2018,103701,90,55
7/1/2018,102680,96,55
8/1/2018,107191,99,56
9/1/2018,94975,85,50
10/1/2018,98046,82,50
11/1/2018,94379,85,48
12/1/2018,100222,88,48
1/1/2019,87114,89,54
2/1/2019,89009,91,54
3/1/2019,109845,95,55
4/1/2019,103156,93,54
5/1/2019,111772,90,54
6/1/2019,104743,93,55
7/1/2019,109269,93,57
8/1/2019,114659,98,58
9/1/2019,99537,91,54
10/1/2019,103801,86,52
11/1/2019,101101,85,49
12/1/2019,103463,90,50
1/1/2020,93268,87,55
2/1/2020,97859,89,54
3/1/2020,82677,74,47
4/1/2020,69889,74,46
5/1/2020,104684,89,46
