DATE,num_adjusted
2004-01-03,"349,000"
2004-01-10,"354,000"
2004-01-17,"362,000"
2004-01-24,"353,000"
2004-01-31,"376,000"
2004-02-07,"380,000"
2004-02-14,"356,000"
2004-02-21,"359,000"
2004-02-28,"348,000"
2004-03-06,"344,000"
2004-03-13,"338,000"
2004-03-20,"346,000"
2004-03-27,"340,000"
2004-04-03,"335,000"
2004-04-10,"355,000"
2004-04-17,"364,000"
2004-04-24,"339,000"
2004-05-01,"324,000"
2004-05-08,"329,000"
2004-05-15,"349,000"
2004-05-22,"342,000"
2004-05-29,"337,000"
2004-06-05,"355,000"
2004-06-12,"339,000"
2004-06-19,"354,000"
2004-06-26,"348,000"
2004-07-03,"326,000"
2004-07-10,"345,000"
2004-07-17,"355,000"
2004-07-24,"348,000"
2004-07-31,"341,000"
2004-08-07,"336,000"
2004-08-14,"332,000"
2004-08-21,"343,000"
2004-08-28,"352,000"
2004-09-04,"326,000"
2004-09-11,"331,000"
2004-09-18,"341,000"
2004-09-25,"351,000"
2004-10-02,"335,000"
2004-10-09,"338,000"
2004-10-10,"327,000"
2004-10-23,"338,000"
2004-10-30,"332,000"
2004-11-06,"330,000"
2004-11-13,"337,000"
2004-11-20,"313,000"
2004-11-27,"335,000"
2004-12-04,"343,000"
2004-12-11,"316,000"
2004-12-18,"322,000"
2004-12-25,"320,000"
2005-01-01,"356,000"
2005-01-08,"369,000"
2005-01-15,"332,000"
2005-01-22,"329,000"
2005-01-29,"331,000"
2005-02-05,"307,000"
2005-02-12,"308,000"
2005-02-19,"318,000"
2005-02-26,"314,000"
2005-03-05,"333,000"
2005-03-12,"324,000"
2005-03-19,"329,000"
2005-03-26,"342,000"
2005-04-02,"335,000"
2005-04-09,"323,000"
2005-04-16,"307,000"
2005-04-23,"317,000"
2005-04-30,"334,000"
2005-05-07,"327,000"
2005-05-14,"321,000"
2005-05-21,"320,000"
2005-05-28,"340,000"
2005-06-04,"338,000"
2005-06-11,"333,000"
2005-06-18,"321,000"
2005-06-25,"311,000"
2005-07-02,"327,000"
2005-07-09,"338,000"
2005-07-16,"323,000"
2005-07-23,"318,000"
2005-07-30,"316,000"
2005-08-06,"311,000"
2005-08-13,"319,000"
2005-08-20,"315,000"
2005-08-27,"318,000"
2005-09-03,"326,000"
2005-09-10,"422,000"
2005-09-17,"424,000"
2005-09-24,"359,000"
2005-10-01,"384,000"
2005-10-08,"383,000"
2005-10-15,"348,000"
2005-10-22,"324,000"
2005-10-29,"322,000"
2005-11-05,"325,000"
2005-11-12,"309,000"
2005-11-19,"324,000"
2005-11-26,"311,000"
2005-12-03,"321,000"
2005-12-10,"327,000"
2005-12-17,"312,000"
2005-12-24,"320,000"
2005-12-31,"302,000"
2006-01-07,"326,000"
2006-01-14,"285,000"
2006-01-21,"290,000"
2006-01-28,"282,000"
2006-02-04,"289,000"
2006-02-11,"298,000"
2006-02-18,"283,000"
2006-02-25,"293,000"
2006-03-04,"302,000"
2006-03-11,"307,000"
2006-03-18,"303,000"
2006-03-25,"295,000"
2006-04-01,"291,000"
2006-04-08,"299,000"
2006-04-15,"299,000"
2006-04-22,"308,000"
2006-04-29,"321,000"
2006-05-06,"347,000"
2006-05-13,"335,000"
2006-05-20,"319,000"
2006-05-27,"330,000"
2006-06-03,"307,000"
2006-06-10,"298,000"
2006-06-17,"308,000"
2006-06-24,"309,000"
2006-07-01,"316,000"
2006-07-08,"343,000"
2006-07-15,"318,000"
